company_id,Oncology,Neurology/Psychiatry,Cardiovascular/Metabolic,Immunology/Autoimmune,Infectious Diseases,Hematology,Gastrointestinal/Hepatology,Dermatology,Ophthalmology,Respiratory,Urology/Renal,Pain Management/Anesthetics
25240322,1,1,0,1,1,0,1,0,0,1,0,0
213080,1,0,0,0,1,0,1,0,0,0,0,0
36018,1,0,1,0,0,0,0,0,0,1,0,0
262431,0,0,0,1,0,0,0,0,0,0,1,0
625814292,0,1,1,0,0,0,0,0,1,0,0,0
4493417,0,0,0,0,0,0,0,0,0,0,0,0
306254596,1,0,0,0,0,0,0,1,0,0,0,0
321992085,0,0,0,1,0,0,0,0,1,0,0,0
564868709,0,0,0,0,0,0,0,0,0,0,0,0
9620565,0,0,0,1,0,0,0,0,0,0,0,0
807324,0,0,0,0,1,0,0,0,0,1,0,0
47593327,0,0,1,0,0,0,0,0,1,1,0,1
697015966,1,0,0,0,0,0,0,0,0,0,0,0
102942,0,0,0,0,0,0,0,1,0,1,0,0
31370,0,1,0,0,0,0,0,0,0,0,0,0
324565060,0,1,0,0,0,0,0,0,1,0,0,0
539392639,1,0,0,0,0,1,0,0,0,0,0,0
25391880,1,0,0,0,0,0,0,0,0,0,0,0
542085131,1,0,0,1,0,1,1,1,0,0,0,0
72510621,1,1,0,0,1,0,0,0,0,0,0,0
35781,0,0,0,0,1,0,0,0,0,0,0,0
737474,0,0,0,0,0,0,0,1,0,0,0,0
276645250,0,0,0,0,0,0,0,0,0,0,0,0
7406282,0,0,0,1,1,0,1,0,0,0,0,0
307970474,1,0,0,1,0,0,0,0,0,1,0,0
998222,0,0,0,0,1,0,0,0,0,0,0,0
547384378,0,1,0,0,0,0,0,0,0,0,0,0
144939852,0,0,0,0,0,0,1,0,0,0,0,0
5705230,1,1,1,0,0,0,1,0,0,1,0,0
27725,0,0,0,0,0,0,0,0,0,0,0,0
207074711,0,0,0,0,0,0,0,0,1,0,0,0
878596,1,0,0,1,0,0,0,0,0,0,0,0
253892234,0,0,0,1,0,0,1,0,0,0,0,0
415070654,0,0,0,0,0,0,0,0,0,0,0,0
206907980,1,0,0,1,0,0,0,0,0,0,0,0
24106,1,0,1,1,0,0,0,0,0,0,0,0
23702931,0,1,0,0,0,0,0,0,0,0,0,0
53339386,0,1,0,1,0,0,1,0,0,0,0,0
100249028,1,0,0,0,0,0,0,0,1,0,1,0
252050056,1,0,0,1,0,1,0,0,1,0,0,0
9517715,0,0,0,0,0,0,0,0,0,0,0,0
9516520,1,0,0,0,0,0,0,0,0,0,1,0
602498309,0,0,0,0,0,0,0,0,0,0,0,0
24474,1,0,0,0,1,0,0,0,0,0,0,0
622668,0,0,0,0,1,0,0,1,0,0,0,0
4422885,0,0,0,0,0,0,0,0,0,0,0,0
20361040,0,0,0,0,0,0,0,0,0,1,0,0
258746,1,0,0,1,1,0,0,0,0,0,0,0
309457193,1,0,0,0,0,0,1,0,0,0,0,0
32388,1,1,0,1,1,1,0,0,0,0,0,0
304157325,1,0,0,1,0,0,0,0,0,0,0,0
30429264,0,0,0,0,0,0,0,0,0,0,0,0
555172586,0,0,0,0,0,0,0,0,0,0,0,0
47560241,1,0,0,1,0,0,0,0,0,0,0,0
215548781,0,0,0,0,0,0,0,0,0,0,0,0
131982,0,1,0,0,0,0,0,0,0,0,0,1
9681063,1,0,0,1,0,0,0,0,0,0,0,1
28757,0,0,0,0,0,0,0,0,0,0,0,0
880556,0,1,0,0,0,0,0,0,0,0,0,1
8088031,0,0,1,0,0,0,1,0,0,0,1,0
344890993,1,0,0,0,0,1,0,0,0,0,0,0
256359845,0,0,0,0,0,0,1,0,0,0,0,0
141885706,1,1,1,1,0,1,1,0,1,0,0,0
969333,0,1,1,0,1,0,0,1,0,0,0,1
320946407,0,0,0,0,0,1,1,0,0,0,0,0
31527,0,0,0,1,1,1,0,0,0,0,0,0
11382658,0,0,0,0,0,0,1,0,0,0,0,0
409956,1,0,0,1,0,0,0,0,0,0,0,0
32464,1,0,0,0,0,1,1,0,0,0,0,0
2985449,1,1,0,0,0,0,0,0,0,0,0,0
246886,0,0,0,0,0,0,0,0,0,0,0,0
622711087,0,1,0,0,0,0,0,0,0,0,0,0
29791,1,1,1,1,1,1,1,0,0,0,0,0
885129,0,0,0,0,0,0,0,0,0,0,0,0
3163077,0,0,0,0,0,0,0,0,0,0,0,0
266974060,0,0,1,0,0,0,0,0,0,0,0,0
7186386,0,0,0,0,0,0,1,0,0,0,0,0
3434256,0,0,0,1,0,0,0,0,1,0,0,0
29535381,0,1,0,0,0,0,0,0,0,0,0,0
121269,1,0,0,0,0,1,0,0,0,0,0,0
700837637,1,0,0,0,0,1,0,0,0,0,0,0
252824153,0,0,0,0,1,0,0,0,0,0,0,0
