COMPANY_ID,IQ_BUSINESS_DESCRIPTION
25240322,"Cumberland Pharmaceuticals Inc., a specialty pharmaceutical company, focuses on the acquisition, development, and commercialization of prescription products for hospital acute care, gastroenterology, and oncology in the United States and internationally. The company offers Acetadote, an injection for the treatment of acetaminophen poisoning; Caldolor, an injection for the treatment of pain and fever; Kristalose, a prescription laxative oral solution for the treatment of constipation; Omeclamox-Pak for the treatment of Helicobacter pylori infection and duodenal ulcer disease; Vaprisol, an injection for treating euvolemic and hypervolemic hyponatremia; Sancuso, an injection for the treatment of chemotherapy treatment; and Vibativ, an injection for the treatment of certain serious bacterial infections, including hospital-acquired and ventilator-associated bacterial pneumonia, as well as complicated skin and skin structure infections. It develops RediTrex injection for the treatment of active rheumatoid, juvenile idiopathic, and severe psoriatic arthritis, as well as disabling psoriasis. In addition, the company is developing ifetroban, a product candidate that is in phase II clinical trial for the treatment of aspirin-exacerbated respiratory disease, systemic sclerosis, and duchenne muscular dystrophy; and has completed phase II clinical trial for the treatment of hepatorenal syndrome and portal hypertension. Further, it develops a clinical program for the use of ifetroban to treat progressive fibrosing interstitial lung diseases. The company was incorporated in 1999 and is headquartered in Nashville, Tennessee."
213080,"As of December 14, 2000, GelTex Pharmaceuticals, Inc. was acquired by Genzyme Corp. GelTex Pharmaceuticals, Inc. is engaged in developing and marketing non-absorbed polymer drugs that bind and eliminate targeted substances within the gastrointestinal tract, as of September 30, 2000. In addition, GelTex is developing small-molecule pharmaceuticals consisting of novel polyamine analogues and metal chelators. Therapeutic areas of interest included hyperphosphatemia, hypercholesterolemia, cancer, iron overload, and infectious diseases. The company is based in Waltham Massachusetts."
36018,"United Therapeutics Corporation, a biotechnology company, engages in the development and commercialization of products to address the unmet medical needs of patients with chronic and life-threatening diseases in the United States and internationally. The company offers Tyvaso DPI, an inhaled dry powder via pre-filled and single-use cartridges; Tyvaso, an inhaled solution via ultrasonic nebulizer; Remodulin (treprostinil) injection to treat patients with pulmonary arterial hypertension (PAH) to diminish symptoms associated with exercise; Orenitram, a tablet dosage form of treprostinil, to delay disease progression and improve exercise capacity in PAH patients; and Adcirca, an oral PDE-5 inhibitor to enhance the exercise ability in PAH patients. It also markets and sells Unituxin (dinutuximab) injection, a monoclonal antibody for treating high-risk neuroblastoma; and Remunity Pump, which contains a pump and separate controller for Remodulin. In addition, the company engages in developing RemoPro and Ralinepag for the treatment of PAH; Aurora-GT, a gene therapy product to rebuild the blood vessels in the lungs; and Nebulized Tyvaso, for the treatment of idiopathic pulmonary fibrosis, as well as xenografts, which are development-stage organ products. It has licensing and collaboration agreements with DEKA Research & Development Corp. to develop a semi-disposable system for the subcutaneous delivery of treprostinil; MannKind Corporation to develop and license treprostinil inhalation powder and the Dreamboat device; and Arena Pharmaceuticals, Inc. to develop Ralinepag. The company was incorporated in 1996 and is headquartered in Silver Spring, Maryland."
262431,"Juniper Pharmaceuticals, Inc., a diversified healthcare company, focuses on developing novel intra-vaginal therapeutics that address unmet medical needs in women�s health. It operates in two segments, Product and Service. The company develops its products utilizing its proprietary drug delivery technologies, which include bioadhesive delivery system, a polymer designed to adhere to epithelial surfaces or mucosa to achieve sustained and controlled delivery of active drug product; and a novel intravaginal ring technology. Juniper Pharmaceuticals, Inc. markets Crinone, a progesterone bioadhesive vaginal gel for progesterone supplementation or replacement as part of an assisted reproductive technology treatment for infertile women with progesterone deficiency. Its product candidates include JNP-0101, which is designed to deliver oxybutynin for the treatment of overactive bladder in women; JNP-0201, which contains natural progesterone and estradiol to be used for hormone replacement therapy in menopausal women; and JNP-0301, a natural progesterone for the prevention of preterm birth in women with a short cervical length. The company offers pharmaceutical product development; clinical trial manufacturing; and analytical and consulting services. Juniper Pharmaceuticals, Inc. has collaboration agreements with Merck KGaA and Allergan, as well as patent license agreement with Massachusetts General Hospital. The company was formerly known as Columbia Laboratories, Inc. and changed its name to Juniper Pharmaceuticals, Inc. in April 2015. Juniper Pharmaceuticals, Inc. was founded in 1986 and is headquartered in Boston, Massachusetts. Juniper Pharmaceuticals, Inc. operates as a subsidiary of Catalent, Inc."
625814292,"Design Therapeutics, Inc. a biopharmaceutical company, researches, designs, develops, and commercializes small molecule therapeutic drugs for the treatment of genetic diseases in the United States. The company utilizes its GeneTAC platform to design and develop therapeutic candidates for inherited diseases caused by nucleotide repeat expansion. Its lead product candidates for potentially disease-modifying treatment comprises Friedreich Ataxia, a monogenic, autosomal recessive, progressive multi-system disease that affects organ systems dependent on mitochondrial function that brings to neurological, cardiac, and metabolic dysfunction; Myotonic Dystrophy Type-1, a dominantly-inherited, monogenic progressive neuromuscular disease affecting skeletal muscle, heart, brain, and other organs; Fuchs Endothelial Corneal Dystrophy, a genetic eye disease characterized by bilateral degeneration of corneal endothelial cells and progressive loss of vision; and Huntington's Disease, a dominantly inherited, monogenic neurodegenerative disease characterized by movement, cognitive, and psychiatric disorders. Design Therapeutics, Inc. was incorporated in 2017 and is headquartered in Carlsbad, California."
4493417,"Chemeq Limited is in reorganization. Chemeq Limited manufactures and markets antimicrobial in Australia. The company was founded in 1989 and is based in Bentley, Australia."
306254596,"Tanvex BioPharma, Inc., a biopharmaceutical company, researches, develops, manufactures, and sells biosimilar products in Taiwan and the United States. It focuses on delivering biosimilars which target neutropenia, breast cancer, metastatic colorectal cancer, and psoriasis. The company�s products pipeline includes TX01 and TX-05 which have completed Phase III clinical trials; TX-04 and TX-16 that are in Phase I clinical trial; and TX-52 and other products which are in pre-clinical trial. The company was formerly known as Ruenvex Biotech, Inc. Tanvex BioPharma, Inc. was incorporated in 2013 and is based in George Town, the Cayman Islands."
321992085,"Kodiak Sciences Inc., a clinical stage biopharmaceutical company, engages in the research, development, and commercialization of therapeutics to treat retinal diseases. Its lead product candidate is tarcocimab tedromer (KSI-301), an anti-vascular endothelial growth factor (VEGF) antibody biopolymer that is in Phase IIb/III clinical study to treat wet age-related macular degeneration (AMD), as well as Phase III clinical study for the treatment of diabetic macular edema, na�ve macular edema due to retinal vein occlusion, and non-proliferative diabetic retinopathy. The company�s preclinical stage product candidate includes KSI-501, a bispecific conjugate targeting the pro-inflammatory cytokine interleukin-6 (IL-6) and VEGF; and KSI-101 (KSI-501P), an unconjugated bispecific protein targeting IL-6 and VEGF developed for retinal inflammatory conditions. The company was formerly known as Oligasis, LLC and changed its name to Kodiak Sciences Inc. in September 2015. Kodiak Sciences Inc. was incorporated in 2009 and is based in Palo Alto, California."
564868709,"High Tide Inc. engages in the cannabis retail business in Canada, the United States, and internationally. The company operates through Retail and Wholesale segments. It operates licensed retail cannabis stores; and provides data analytics services. In addition, the company manufactures and distributes consumption accessories. Further, it sells its products through online sales via e-commerce platform. The company offers its products under the Daily High Club, DankStop, FABCBD, GC, Nuleaf, Smoke Cartel, and Blessed CBD brands. The company was formerly known as High Tide Ventures Inc. and changed its name to High Tide Inc. in October 2018. High Tide Inc. was founded in 2009 and is headquartered in Calgary, Canada."
9620565,"Celldex Therapeutics, Inc., a biopharmaceutical company, engages in developing therapeutic monoclonal and bispecific antibodies for the treatment of various diseases. Its drug candidates include antibody-based therapeutics to treat patients with inflammatory, allergic, autoimmune, and other devastating diseases. The company�s clinical development programs CDX-0159, a Phase II monoclonal antibody that binds the receptor tyrosine kinase KIT and inhibits its activity. It has research collaboration and license agreements with Yale University. The company was incorporated in 1983 and is headquartered in Hampton, New Jersey."
